date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,precipitation_probability,snow_depth
2026-05-01 00:00:00+00:00,25.95,92.83488,24.7,0.0,0.0,0.0
2026-05-01 01:00:00+00:00,25.75,91.9946,24.35,0.0,0.0,0.0
2026-05-01 02:00:00+00:00,25.55,92.25947,24.2,0.0,2.0,0.0
2026-05-01 03:00:00+00:00,25.7,93.100235,24.5,0.0,3.0,0.0
2026-05-01 04:00:00+00:00,25.8,93.94365,24.75,0.0,4.0,0.0
2026-05-01 05:00:00+00:00,25.9,93.38872,24.75,0.0,6.0,0.0
2026-05-01 06:00:00+00:00,26.2,91.47226,24.7,0.0,9.0,0.0
2026-05-01 07:00:00+00:00,27.25,87.022995,24.9,0.0,13.0,0.0
2026-05-01 08:00:00+00:00,28.85,79.74828,25.0,0.0,16.0,0.0
2026-05-01 09:00:00+00:00,30.05,74.85901,25.1,0.0,18.0,0.0
2026-05-01 10:00:00+00:00,30.8,73.00291,25.4,0.1,19.0,0.0
2026-05-01 11:00:00+00:00,31.7,68.94505,25.3,0.0,22.0,0.0
2026-05-01 12:00:00+00:00,31.85,69.590576,25.6,0.0,29.0,0.0
2026-05-01 13:00:00+00:00,31.3,73.30419,25.95,0.0,38.0,0.0
2026-05-01 14:00:00+00:00,30.8,75.42413,25.95,0.3,47.0,0.0
2026-05-01 15:00:00+00:00,29.85,77.08858,25.4,1.2,56.0,0.0
2026-05-01 16:00:00+00:00,29.15,79.788345,25.3,0.0,65.0,0.0
2026-05-01 17:00:00+00:00,28.5,83.84232,25.5,0.1,69.0,0.0
2026-05-01 18:00:00+00:00,27.75,88.10838,25.6,0.1,66.0,0.0
2026-05-01 19:00:00+00:00,27.5,88.61288,25.45,0.0,58.0,0.0
2026-05-01 20:00:00+00:00,27.55,88.88039,25.55,0.0,49.0,0.0
2026-05-01 21:00:00+00:00,27.4,91.544685,25.9,0.0,38.0,0.0
2026-05-01 22:00:00+00:00,27.25,92.35291,25.9,0.0,25.0,0.0
2026-05-01 23:00:00+00:00,27.0,93.44076,25.85,0.0,16.0,0.0
