date,temperature_2m,relative_humidity_2m,precipitation,precipitation_probability
2026-05-01 00:00:00+00:00,25.95,92.83488,0.0,0.0
2026-05-01 01:00:00+00:00,25.75,91.9946,0.0,0.0
2026-05-01 02:00:00+00:00,25.55,92.25947,0.0,2.0
2026-05-01 03:00:00+00:00,25.7,93.100235,0.0,3.0
2026-05-01 04:00:00+00:00,25.8,93.94365,0.0,4.0
2026-05-01 05:00:00+00:00,25.9,93.38872,0.0,6.0
2026-05-01 06:00:00+00:00,26.2,91.47226,0.0,9.0
2026-05-01 07:00:00+00:00,27.25,87.022995,0.0,13.0
2026-05-01 08:00:00+00:00,28.85,79.74828,0.0,16.0
2026-05-01 09:00:00+00:00,30.05,74.85901,0.0,18.0
2026-05-01 10:00:00+00:00,30.8,73.00291,0.1,19.0
2026-05-01 11:00:00+00:00,31.7,68.94505,0.0,22.0
2026-05-01 12:00:00+00:00,31.85,69.590576,0.0,29.0
2026-05-01 13:00:00+00:00,31.3,73.30419,0.0,38.0
2026-05-01 14:00:00+00:00,30.8,75.42413,0.3,47.0
2026-05-01 15:00:00+00:00,29.85,77.08858,1.2,56.0
2026-05-01 16:00:00+00:00,29.15,79.788345,0.0,65.0
2026-05-01 17:00:00+00:00,28.5,83.84232,0.1,69.0
2026-05-01 18:00:00+00:00,27.75,88.10838,0.1,66.0
2026-05-01 19:00:00+00:00,27.5,88.61288,0.0,58.0
2026-05-01 20:00:00+00:00,27.55,88.88039,0.0,49.0
2026-05-01 21:00:00+00:00,27.4,91.544685,0.0,38.0
2026-05-01 22:00:00+00:00,27.25,92.35291,0.0,25.0
2026-05-01 23:00:00+00:00,27.0,93.44076,0.0,16.0
